file,bytes,MB,MiB,time,tp,filter,dir_mem,iter,blocksize,transfersize,size,operation,options,read_time,write_time,read_tp,write_tp,prefix,n,ppn,config,timesteps,sync_t
passthrough_ll-fuse-2-2000-2000.txt,,,,0.685610,139.08,passthrough_ll,fuse,2,2000,2000,,write,ior,,,,,,,,,,
passthrough_ll-fuse-2-5000-5000.txt,,,,0.783515,304.26,passthrough_ll,fuse,2,5000,5000,,write,ior,,,,,,,,,,
passthrough_ll-tmpfs-1-2000-2000.txt,,,,0.088055,1082.90,passthrough_ll,tmpfs,1,2000,2000,,write,ior,,,,,,,,,,
passthrough_ll-tmpfs-1-5000-5000.txt,,,,0.113322,2103.66,passthrough_ll,tmpfs,1,5000,5000,,write,ior,,,,,,,,,,
passthrough_ll-tmpfs-2-2000-2000.txt,,,,0.085348,1117.23,passthrough_ll,tmpfs,2,2000,2000,,write,ior,,,,,,,,,,
passthrough_ll-tmpfs-2-5000-5000.txt,,,,0.114483,2082.30,passthrough_ll,tmpfs,2,5000,5000,,write,ior,,,,,,,,,,
passthrough-tmpfs-1-2000-2000.txt,,,,0.118445,805.02,passthrough,tmpfs,1,2000,2000,,write,ior,,,,,,,,,,
passthrough-tmpfs-1-5000-5000.txt,,,,0.134868,1767.57,passthrough,tmpfs,1,5000,5000,,write,ior,,,,,,,,,,
passthrough-tmpfs-2-2000-2000.txt,,,,0.093561,1019.08,passthrough,tmpfs,2,2000,2000,,write,ior,,,,,,,,,,
passthrough-tmpfs-2-5000-5000.txt,,,,0.157598,1512.64,passthrough,tmpfs,2,5000,5000,,write,ior,,,,,,,,,,
