file,bytes,MB,MiB,time,tp,filter,dir_mem,iter,blocksize,transfersize,size,operation,options,read_time,write_time,read_tp,write_tp,prefix,n,ppn,config,timesteps,sync_t
passthrough_fh-fuse-1-1048576-262144.txt,,,,0.000895,908.71,passthrough_fh,fuse,1,1048576,262144,,read,ior,,,,,,,,,,
passthrough_fh-fuse-1-1048576-524288.txt,,,,0.000679,1161.33,passthrough_fh,fuse,1,1048576,524288,,read,ior,,,,,,,,,,
passthrough_fh-fuse-1-2097152-262144.txt,,,,0.001484,1245.86,passthrough_fh,fuse,1,2097152,262144,,read,ior,,,,,,,,,,
passthrough_fh-fuse-1-2097152-524288.txt,,,,0.001198,1544.93,passthrough_fh,fuse,1,2097152,524288,,read,ior,,,,,,,,,,
passthrough_fh-fuse-2-1048576-262144.txt,,,,0.000745,1082.54,passthrough_fh,fuse,2,1048576,262144,,read,ior,,,,,,,,,,
passthrough_fh-fuse-2-1048576-524288.txt,,,,0.000658,1214.38,passthrough_fh,fuse,2,1048576,524288,,read,ior,,,,,,,,,,
passthrough_fh-fuse-2-2097152-262144.txt,,,,0.001482,1131.88,passthrough_fh,fuse,2,2097152,262144,,read,ior,,,,,,,,,,
passthrough_fh-fuse-2-2097152-524288.txt,,,,0.001293,1261.37,passthrough_fh,fuse,2,2097152,524288,,read,ior,,,,,,,,,,
passthrough_fh-tmpfs-1-1048576-262144.txt,,,,0.000175,5574,passthrough_fh,tmpfs,1,1048576,262144,,read,ior,,,,,,,,,,
passthrough_fh-tmpfs-1-1048576-524288.txt,,,,0.000111,8742,passthrough_fh,tmpfs,1,1048576,524288,,read,ior,,,,,,,,,,
passthrough_fh-tmpfs-1-2097152-262144.txt,,,,0.000413,4738,passthrough_fh,tmpfs,1,2097152,262144,,read,ior,,,,,,,,,,
passthrough_fh-tmpfs-1-2097152-524288.txt,,,,0.000305,6450,passthrough_fh,tmpfs,1,2097152,524288,,read,ior,,,,,,,,,,
passthrough_fh-tmpfs-2-1048576-262144.txt,,,,0.000181,5395,passthrough_fh,tmpfs,2,1048576,262144,,read,ior,,,,,,,,,,
passthrough_fh-tmpfs-2-1048576-524288.txt,,,,0.000155,6274,passthrough_fh,tmpfs,2,1048576,524288,,read,ior,,,,,,,,,,
passthrough_fh-tmpfs-2-2097152-262144.txt,,,,0.000300,6569,passthrough_fh,tmpfs,2,2097152,262144,,read,ior,,,,,,,,,,
passthrough_fh-tmpfs-2-2097152-524288.txt,,,,0.000349,5658,passthrough_fh,tmpfs,2,2097152,524288,,read,ior,,,,,,,,,,
passthrough-fuse-1-1048576-262144.txt,,,,0.000564,1373.38,passthrough,fuse,1,1048576,262144,,read,ior,,,,,,,,,,
passthrough-fuse-1-1048576-524288.txt,,,,0.000578,1492.73,passthrough,fuse,1,1048576,524288,,read,ior,,,,,,,,,,
passthrough-fuse-1-2097152-262144.txt,,,,0.000912,1758.38,passthrough,fuse,1,2097152,262144,,read,ior,,,,,,,,,,
passthrough-fuse-1-2097152-524288.txt,,,,0.000979,1475.37,passthrough,fuse,1,2097152,524288,,read,ior,,,,,,,,,,
passthrough-fuse-2-1048576-262144.txt,,,,0.000568,1311.68,passthrough,fuse,2,1048576,262144,,read,ior,,,,,,,,,,
passthrough-fuse-2-1048576-524288.txt,,,,0.000547,1339.80,passthrough,fuse,2,1048576,524288,,read,ior,,,,,,,,,,
passthrough-fuse-2-2097152-262144.txt,,,,0.000950,1955.74,passthrough,fuse,2,2097152,262144,,read,ior,,,,,,,,,,
passthrough-fuse-2-2097152-524288.txt,,,,0.000771,2133.18,passthrough,fuse,2,2097152,524288,,read,ior,,,,,,,,,,
passthrough_ll-fuse-1-1048576-262144.txt,,,,0.001052,806.16,passthrough_ll,fuse,1,1048576,262144,,read,ior,,,,,,,,,,
passthrough_ll-fuse-1-1048576-524288.txt,,,,0.000630,1341.80,passthrough_ll,fuse,1,1048576,524288,,read,ior,,,,,,,,,,
passthrough_ll-fuse-1-2097152-262144.txt,,,,0.001468,1296.53,passthrough_ll,fuse,1,2097152,262144,,read,ior,,,,,,,,,,
passthrough_ll-fuse-1-2097152-524288.txt,,,,0.001380,1281.03,passthrough_ll,fuse,1,2097152,524288,,read,ior,,,,,,,,,,
passthrough_ll-fuse-2-1048576-262144.txt,,,,0.000860,995.79,passthrough_ll,fuse,2,1048576,262144,,read,ior,,,,,,,,,,
passthrough_ll-fuse-2-1048576-524288.txt,,,,0.000709,1172.05,passthrough_ll,fuse,2,1048576,524288,,read,ior,,,,,,,,,,
passthrough_ll-fuse-2-2097152-262144.txt,,,,0.001157,1502.79,passthrough_ll,fuse,2,2097152,262144,,read,ior,,,,,,,,,,
passthrough_ll-fuse-2-2097152-524288.txt,,,,0.001436,1307.57,passthrough_ll,fuse,2,2097152,524288,,read,ior,,,,,,,,,,
passthrough_ll-tmpfs-1-1048576-262144.txt,,,,0.000148,6609,passthrough_ll,tmpfs,1,1048576,262144,,read,ior,,,,,,,,,,
passthrough_ll-tmpfs-1-1048576-524288.txt,,,,0.000222,4412,passthrough_ll,tmpfs,1,1048576,524288,,read,ior,,,,,,,,,,
passthrough_ll-tmpfs-1-2097152-262144.txt,,,,0.000256,7650,passthrough_ll,tmpfs,1,2097152,262144,,read,ior,,,,,,,,,,
passthrough_ll-tmpfs-1-2097152-524288.txt,,,,0.000227,8651,passthrough_ll,tmpfs,1,2097152,524288,,read,ior,,,,,,,,,,
passthrough_ll-tmpfs-2-1048576-262144.txt,,,,0.000113,8495,passthrough_ll,tmpfs,2,1048576,262144,,read,ior,,,,,,,,,,
passthrough_ll-tmpfs-2-1048576-524288.txt,,,,0.000159,6074,passthrough_ll,tmpfs,2,1048576,524288,,read,ior,,,,,,,,,,
passthrough_ll-tmpfs-2-2097152-262144.txt,,,,0.000303,6540,passthrough_ll,tmpfs,2,2097152,262144,,read,ior,,,,,,,,,,
passthrough_ll-tmpfs-2-2097152-524288.txt,,,,0.000258,7619,passthrough_ll,tmpfs,2,2097152,524288,,read,ior,,,,,,,,,,
passthrough-tmpfs-1-1048576-262144.txt,,,,0.000183,5316,passthrough,tmpfs,1,1048576,262144,,read,ior,,,,,,,,,,
passthrough-tmpfs-1-1048576-524288.txt,,,,0.000183,5288,passthrough,tmpfs,1,1048576,524288,,read,ior,,,,,,,,,,
passthrough-tmpfs-1-2097152-262144.txt,,,,0.000293,6736,passthrough,tmpfs,1,2097152,262144,,read,ior,,,,,,,,,,
passthrough-tmpfs-1-2097152-524288.txt,,,,0.000347,5691,passthrough,tmpfs,1,2097152,524288,,read,ior,,,,,,,,,,
passthrough-tmpfs-2-1048576-262144.txt,,,,0.000145,6288,passthrough,tmpfs,2,1048576,262144,,read,ior,,,,,,,,,,
passthrough-tmpfs-2-1048576-524288.txt,,,,0.000246,3955,passthrough,tmpfs,2,1048576,524288,,read,ior,,,,,,,,,,
passthrough-tmpfs-2-2097152-262144.txt,,,,0.000303,6526,passthrough,tmpfs,2,2097152,262144,,read,ior,,,,,,,,,,
passthrough-tmpfs-2-2097152-524288.txt,,,,0.000343,5759,passthrough,tmpfs,2,2097152,524288,,read,ior,,,,,,,,,,
passthrough_fh-fuse-1-1048576-262144.txt,,,,0.000681,1316.42,passthrough_fh,fuse,1,1048576,262144,,write,ior,,,,,,,,,,
passthrough_fh-fuse-1-1048576-524288.txt,,,,0.000721,1212.06,passthrough_fh,fuse,1,1048576,524288,,write,ior,,,,,,,,,,
passthrough_fh-fuse-1-2097152-262144.txt,,,,0.002072,890.00,passthrough_fh,fuse,1,2097152,262144,,write,ior,,,,,,,,,,
passthrough_fh-fuse-1-2097152-524288.txt,,,,0.001411,1334.24,passthrough_fh,fuse,1,2097152,524288,,write,ior,,,,,,,,,,
passthrough_fh-fuse-2-1048576-262144.txt,,,,0.000986,856.98,passthrough_fh,fuse,2,1048576,262144,,write,ior,,,,,,,,,,
passthrough_fh-fuse-2-1048576-524288.txt,,,,0.000816,1073.97,passthrough_fh,fuse,2,1048576,524288,,write,ior,,,,,,,,,,
passthrough_fh-fuse-2-2097152-262144.txt,,,,0.001724,1041.84,passthrough_fh,fuse,2,2097152,262144,,write,ior,,,,,,,,,,
passthrough_fh-fuse-2-2097152-524288.txt,,,,0.001868,955.29,passthrough_fh,fuse,2,2097152,524288,,write,ior,,,,,,,,,,
passthrough_fh-tmpfs-1-1048576-262144.txt,,,,0.000282,3399.83,passthrough_fh,tmpfs,1,1048576,262144,,write,ior,,,,,,,,,,
passthrough_fh-tmpfs-1-1048576-524288.txt,,,,0.000209,4576,passthrough_fh,tmpfs,1,1048576,524288,,write,ior,,,,,,,,,,
passthrough_fh-tmpfs-1-2097152-262144.txt,,,,0.000850,2307.98,passthrough_fh,tmpfs,1,2097152,262144,,write,ior,,,,,,,,,,
passthrough_fh-tmpfs-1-2097152-524288.txt,,,,0.000460,4249,passthrough_fh,tmpfs,1,2097152,524288,,write,ior,,,,,,,,,,
passthrough_fh-tmpfs-2-1048576-262144.txt,,,,0.000312,3090.57,passthrough_fh,tmpfs,2,1048576,262144,,write,ior,,,,,,,,,,
passthrough_fh-tmpfs-2-1048576-524288.txt,,,,0.000249,3857,passthrough_fh,tmpfs,2,1048576,524288,,write,ior,,,,,,,,,,
passthrough_fh-tmpfs-2-2097152-262144.txt,,,,0.000545,3590.81,passthrough_fh,tmpfs,2,2097152,262144,,write,ior,,,,,,,,,,
passthrough_fh-tmpfs-2-2097152-524288.txt,,,,0.000527,3715,passthrough_fh,tmpfs,2,2097152,524288,,write,ior,,,,,,,,,,
passthrough-fuse-1-1048576-262144.txt,,,,0.001379,650.82,passthrough,fuse,1,1048576,262144,,write,ior,,,,,,,,,,
passthrough-fuse-1-1048576-524288.txt,,,,0.000923,968.60,passthrough,fuse,1,1048576,524288,,write,ior,,,,,,,,,,
passthrough-fuse-1-2097152-262144.txt,,,,0.002075,876.62,passthrough,fuse,1,2097152,262144,,write,ior,,,,,,,,,,
passthrough-fuse-1-2097152-524288.txt,,,,0.002948,640.33,passthrough,fuse,1,2097152,524288,,write,ior,,,,,,,,,,
passthrough-fuse-2-1048576-262144.txt,,,,0.001160,765.97,passthrough,fuse,2,1048576,262144,,write,ior,,,,,,,,,,
passthrough-fuse-2-1048576-524288.txt,,,,0.000903,989.76,passthrough,fuse,2,1048576,524288,,write,ior,,,,,,,,,,
passthrough-fuse-2-2097152-262144.txt,,,,0.001663,1142.18,passthrough,fuse,2,2097152,262144,,write,ior,,,,,,,,,,
passthrough-fuse-2-2097152-524288.txt,,,,0.001628,1167.87,passthrough,fuse,2,2097152,524288,,write,ior,,,,,,,,,,
passthrough_ll-fuse-1-1048576-262144.txt,,,,0.001005,868.54,passthrough_ll,fuse,1,1048576,262144,,write,ior,,,,,,,,,,
passthrough_ll-fuse-1-1048576-524288.txt,,,,0.000647,1399.72,passthrough_ll,fuse,1,1048576,524288,,write,ior,,,,,,,,,,
passthrough_ll-fuse-1-2097152-262144.txt,,,,0.001963,913.00,passthrough_ll,fuse,1,2097152,262144,,write,ior,,,,,,,,,,
passthrough_ll-fuse-1-2097152-524288.txt,,,,0.001260,1477.44,passthrough_ll,fuse,1,2097152,524288,,write,ior,,,,,,,,,,
passthrough_ll-fuse-2-1048576-262144.txt,,,,0.000855,1011.29,passthrough_ll,fuse,2,1048576,262144,,write,ior,,,,,,,,,,
passthrough_ll-fuse-2-1048576-524288.txt,,,,0.000795,1084.11,passthrough_ll,fuse,2,1048576,524288,,write,ior,,,,,,,,,,
passthrough_ll-fuse-2-2097152-262144.txt,,,,0.001482,1249.84,passthrough_ll,fuse,2,2097152,262144,,write,ior,,,,,,,,,,
passthrough_ll-fuse-2-2097152-524288.txt,,,,0.001786,1023.40,passthrough_ll,fuse,2,2097152,524288,,write,ior,,,,,,,,,,
passthrough_ll-tmpfs-1-1048576-262144.txt,,,,0.000224,4259,passthrough_ll,tmpfs,1,1048576,262144,,write,ior,,,,,,,,,,
passthrough_ll-tmpfs-1-1048576-524288.txt,,,,0.000333,2883.41,passthrough_ll,tmpfs,1,1048576,524288,,write,ior,,,,,,,,,,
passthrough_ll-tmpfs-1-2097152-262144.txt,,,,0.000538,3634,passthrough_ll,tmpfs,1,2097152,262144,,write,ior,,,,,,,,,,
passthrough_ll-tmpfs-1-2097152-524288.txt,,,,0.000508,3849,passthrough_ll,tmpfs,1,2097152,524288,,write,ior,,,,,,,,,,
passthrough_ll-tmpfs-2-1048576-262144.txt,,,,0.000208,4561,passthrough_ll,tmpfs,2,1048576,262144,,write,ior,,,,,,,,,,
passthrough_ll-tmpfs-2-1048576-524288.txt,,,,0.000287,3330.40,passthrough_ll,tmpfs,2,1048576,524288,,write,ior,,,,,,,,,,
passthrough_ll-tmpfs-2-2097152-262144.txt,,,,0.000401,4867,passthrough_ll,tmpfs,2,2097152,262144,,write,ior,,,,,,,,,,
passthrough_ll-tmpfs-2-2097152-524288.txt,,,,0.000477,4090,passthrough_ll,tmpfs,2,2097152,524288,,write,ior,,,,,,,,,,
passthrough-tmpfs-1-1048576-262144.txt,,,,0.000291,3292.46,passthrough,tmpfs,1,1048576,262144,,write,ior,,,,,,,,,,
passthrough-tmpfs-1-1048576-524288.txt,,,,0.000288,3329.67,passthrough,tmpfs,1,1048576,524288,,write,ior,,,,,,,,,,
passthrough-tmpfs-1-2097152-262144.txt,,,,0.000422,4620,passthrough,tmpfs,1,2097152,262144,,write,ior,,,,,,,,,,
passthrough-tmpfs-1-2097152-524288.txt,,,,0.000577,3402.85,passthrough,tmpfs,1,2097152,524288,,write,ior,,,,,,,,,,
passthrough-tmpfs-2-1048576-262144.txt,,,,0.000226,4189,passthrough,tmpfs,2,1048576,262144,,write,ior,,,,,,,,,,
passthrough-tmpfs-2-1048576-524288.txt,,,,0.000407,2355.57,passthrough,tmpfs,2,1048576,524288,,write,ior,,,,,,,,,,
passthrough-tmpfs-2-2097152-262144.txt,,,,0.000413,4727,passthrough,tmpfs,2,2097152,262144,,write,ior,,,,,,,,,,
passthrough-tmpfs-2-2097152-524288.txt,,,,0.000573,3424.77,passthrough,tmpfs,2,2097152,524288,,write,ior,,,,,,,,,,
