file,bytes,MB,MiB,time,tp,filter,dir_mem,iter,blocksize,size,operation,options,read_time,write_time,read_tp,write_tp,prefix,n,ppn,config,timesteps,sync_t
passthrough_fh-tmpfs-1-128-30000-write.txt,30670848,31,29,0.0132114,2355.2,passthrough_fh,tmpfs,1,128,30000,write,dd,,,,,,,,,,
passthrough_fh-tmpfs-1-16-30000-read.txt,30720000,31,29,0.00683998,4608.0,passthrough_fh,tmpfs,1,16,30000,read,dd,,,,,,,,,,
passthrough_fh-tmpfs-1-16-30000-write.txt,30720000,31,29,0.0126938,2457.6,passthrough_fh,tmpfs,1,16,30000,write,dd,,,,,,,,,,
passthrough_fh-tmpfs-1-4-30000-read.txt,30720000,31,29,0.0161974,1945.6,passthrough_fh,tmpfs,1,4,30000,read,dd,,,,,,,,,,
passthrough_fh-tmpfs-1-4-30000-write.txt,30720000,31,29,0.0196202,1638.4,passthrough_fh,tmpfs,1,4,30000,write,dd,,,,,,,,,,
passthrough_fh-tmpfs-2-1000-30000-read.txt,30720000,31,29,0.00549836,5734.4,passthrough_fh,tmpfs,2,1000,30000,read,dd,,,,,,,,,,
passthrough_fh-tmpfs-2-1000-30000-write.txt,30720000,31,29,0.00816957,3891.2,passthrough_fh,tmpfs,2,1000,30000,write,dd,,,,,,,,,,
passthrough_fh-tmpfs-2-100-30000-read.txt,30720000,31,29,0.00545077,5734.4,passthrough_fh,tmpfs,2,100,30000,read,dd,,,,,,,,,,
passthrough_fh-tmpfs-2-100-30000-write.txt,30720000,31,29,0.00756446,4198.4,passthrough_fh,tmpfs,2,100,30000,write,dd,,,,,,,,,,
passthrough_fh-tmpfs-2-128-30000-read.txt,30670848,31,29,0.0053041,5939.2,passthrough_fh,tmpfs,2,128,30000,read,dd,,,,,,,,,,
passthrough_fh-tmpfs-2-128-30000-write.txt,30670848,31,29,0.00813102,3891.2,passthrough_fh,tmpfs,2,128,30000,write,dd,,,,,,,,,,
passthrough_fh-tmpfs-2-16-30000-read.txt,30720000,31,29,0.00659359,4812.8,passthrough_fh,tmpfs,2,16,30000,read,dd,,,,,,,,,,
passthrough_fh-tmpfs-2-16-30000-write.txt,30720000,31,29,0.00877391,3584.0,passthrough_fh,tmpfs,2,16,30000,write,dd,,,,,,,,,,
passthrough_fh-tmpfs-2-4-30000-read.txt,30720000,31,29,0.0116682,2662.4,passthrough_fh,tmpfs,2,4,30000,read,dd,,,,,,,,,,
passthrough_fh-tmpfs-2-4-30000-write.txt,30720000,31,29,0.0141402,2252.8,passthrough_fh,tmpfs,2,4,30000,write,dd,,,,,,,,,,
passthrough_fh-tmpfs-3-1000-30000-read.txt,30720000,31,29,0.00531725,5939.2,passthrough_fh,tmpfs,3,1000,30000,read,dd,,,,,,,,,,
passthrough_fh-tmpfs-3-1000-30000-write.txt,30720000,31,29,0.00770439,4096.0,passthrough_fh,tmpfs,3,1000,30000,write,dd,,,,,,,,,,
passthrough_fh-tmpfs-3-100-30000-read.txt,30720000,31,29,0.00519836,6041.6,passthrough_fh,tmpfs,3,100,30000,read,dd,,,,,,,,,,
passthrough_fh-tmpfs-3-100-30000-write.txt,30720000,31,29,0.0075491,4198.4,passthrough_fh,tmpfs,3,100,30000,write,dd,,,,,,,,,,
passthrough_fh-tmpfs-3-128-30000-read.txt,30670848,31,29,0.00525776,5939.2,passthrough_fh,tmpfs,3,128,30000,read,dd,,,,,,,,,,
passthrough_fh-tmpfs-3-128-30000-write.txt,30670848,31,29,0.00758475,4096.0,passthrough_fh,tmpfs,3,128,30000,write,dd,,,,,,,,,,
passthrough_fh-tmpfs-3-16-30000-read.txt,30720000,31,29,0.00674654,4710.4,passthrough_fh,tmpfs,3,16,30000,read,dd,,,,,,,,,,
passthrough_fh-tmpfs-3-16-30000-write.txt,30720000,31,29,0.00955545,3276.8,passthrough_fh,tmpfs,3,16,30000,write,dd,,,,,,,,,,
passthrough_fh-tmpfs-3-4-30000-read.txt,30720000,31,29,0.0120079,2662.4,passthrough_fh,tmpfs,3,4,30000,read,dd,,,,,,,,,,
passthrough_fh-tmpfs-3-4-30000-write.txt,30720000,31,29,0.0147561,2150.4,passthrough_fh,tmpfs,3,4,30000,write,dd,,,,,,,,,,
