file,bytes,MB,MiB,time,tp,filter,dir_mem,iter,blocksize,transfersize,isize,psize,size,options,read_time1,write_time1,read_time2,write_time2,read_time3,write_time3,read_time4,write_time4,read_time5,write_time5,read_time6,write_time6,read_time7,write_time7,read_tp,write_tp,prefix,n,ppn,config,timesteps,sync_t,nproc,rate_iops,rate_objs,total_time
passthrough_fh-fuse-3-200-1000-1.txt,,,,,,passthrough_fh,fuse,3,,,200,1000,,md,8.0626e-05,8.9158e-05,8.9559e-05,9.8232e-05,9.8377e-05,1.0633e-04,1.3095e-04,1.4190e-04,1.4862e-04,1.6414e-04,1.8766e-04,2.0845e-04,2.0155e-04,5.0353e-04,,,,,,,,,1,10300.5,2575.1,1
passthrough_fh-fuse-3-200-1000-1.txt,,,,,,passthrough_fh,fuse,3,,,200,1000,,md,8.0626e-05,8.9158e-05,8.9559e-05,9.8232e-05,9.8377e-05,1.0633e-04,1.3095e-04,1.4190e-04,1.4862e-04,1.6414e-04,1.8766e-04,2.0845e-04,2.0155e-04,5.0353e-04,,,,,,,,,1,10300.5,2575.1,0
passthrough_fh-fuse-3-200-1000-2.txt,,,,,,passthrough_fh,fuse,3,,,200,1000,,md,1.1007e-04,1.2266e-04,1.3127e-04,1.4769e-04,1.4286e-04,1.5968e-04,1.5704e-04,1.7428e-04,1.7364e-04,1.9250e-04,2.8052e-04,2.9188e-04,3.7143e-04,7.4089e-04,,,,,,,,,2,15323.2,3830.8,0
passthrough_fh-fuse-3-200-1000-2.txt,,,,,,passthrough_fh,fuse,3,,,200,1000,,md,1.1007e-04,1.2266e-04,1.3127e-04,1.4769e-04,1.4286e-04,1.5968e-04,1.5704e-04,1.7428e-04,1.7364e-04,1.9250e-04,2.8052e-04,2.9188e-04,3.7143e-04,7.4089e-04,,,,,,,,,2,15323.2,3830.8,0
passthrough_fh-fuse-3-500-1000-1.txt,,,,,,passthrough_fh,fuse,3,,,500,1000,,md,1.2158e-04,1.3272e-04,1.5567e-04,1.7190e-04,1.6687e-04,1.8300e-04,1.9091e-04,2.0973e-04,2.1730e-04,2.3760e-04,2.8970e-04,3.6363e-04,4.3033e-04,6.3951e-04,,,,,,,,,1,6499.8,1625.0,0
passthrough_fh-fuse-3-500-1000-1.txt,,,,,,passthrough_fh,fuse,3,,,500,1000,,md,1.2158e-04,1.3272e-04,1.5567e-04,1.7190e-04,1.6687e-04,1.8300e-04,1.9091e-04,2.0973e-04,2.1730e-04,2.3760e-04,2.8970e-04,3.6363e-04,4.3033e-04,6.3951e-04,,,,,,,,,1,6499.8,1625.0,1
passthrough_fh-fuse-3-500-1000-2.txt,,,,,,passthrough_fh,fuse,3,,,500,1000,,md,9.0584e-05,9.6591e-05,1.1288e-04,1.2457e-04,1.2046e-04,1.3340e-04,1.3122e-04,1.4420e-04,1.4630e-04,1.6288e-04,1.9168e-04,2.1143e-04,1.2868e-03,2.4263e-04,,,,,,,,,2,18290.5,4572.6,1
passthrough_fh-fuse-3-500-1000-2.txt,,,,,,passthrough_fh,fuse,3,,,500,1000,,md,9.0584e-05,9.6591e-05,1.1288e-04,1.2457e-04,1.2046e-04,1.3340e-04,1.3122e-04,1.4420e-04,1.4630e-04,1.6288e-04,1.9168e-04,2.1143e-04,1.2868e-03,2.4263e-04,,,,,,,,,2,18290.5,4572.6,0
passthrough_fh-tmpfs-1-200-1000-1.txt,,,,,,passthrough_fh,tmpfs,1,,,200,1000,,md,3.2460e-06,4.7490e-06,3.3850e-06,5.0880e-06,3.4555e-06,5.1905e-06,3.6060e-06,5.3870e-06,3.7820e-06,5.6000e-06,5.6810e-06,8.2870e-06,6.2570e-06,8.3910e-06,,,,,,,,,1,287289.1,71822.3,0
passthrough_fh-tmpfs-1-200-1000-1.txt,,,,,,passthrough_fh,tmpfs,1,,,200,1000,,md,3.2460e-06,4.7490e-06,3.3850e-06,5.0880e-06,3.4555e-06,5.1905e-06,3.6060e-06,5.3870e-06,3.7820e-06,5.6000e-06,5.6810e-06,8.2870e-06,6.2570e-06,8.3910e-06,,,,,,,,,1,287289.1,71822.3,0
passthrough_fh-tmpfs-1-200-1000-2.txt,,,,,,passthrough_fh,tmpfs,1,,,200,1000,,md,2.8870e-06,4.1980e-06,3.0350e-06,4.3710e-06,3.0955e-06,4.4795e-06,3.2000e-06,4.6810e-06,3.3280e-06,5.6590e-06,9.3980e-06,1.3216e-05,1.3539e-05,1.5818e-05,,,,,,,,,2,618213.7,154553.4,0
passthrough_fh-tmpfs-1-200-1000-2.txt,,,,,,passthrough_fh,tmpfs,1,,,200,1000,,md,2.8870e-06,4.1980e-06,3.0350e-06,4.3710e-06,3.0955e-06,4.4795e-06,3.2000e-06,4.6810e-06,3.3280e-06,5.6590e-06,9.3980e-06,1.3216e-05,1.3539e-05,1.5818e-05,,,,,,,,,2,618213.7,154553.4,0
passthrough_fh-tmpfs-1-500-1000-1.txt,,,,,,passthrough_fh,tmpfs,1,,,500,1000,,md,2.8680e-06,4.1770e-06,3.0430e-06,4.4610e-06,3.1305e-06,4.6060e-06,3.2570e-06,4.8270e-06,3.4470e-06,5.8050e-06,1.3140e-05,1.4844e-05,1.3320e-05,1.7538e-05,,,,,,,,,1,288430.1,72107.5,0
