file,bytes,MB,MiB,time,tp,filter,dir_mem,iter,blocksize,transfersize,isize,psize,size,options,read_time1,write_time1,read_time2,write_time2,read_time3,write_time3,read_time4,write_time4,read_time5,write_time5,read_time6,write_time6,read_time7,write_time7,read_tp,write_tp,prefix,n,ppn,config,timesteps,sync_t,nproc,rate_iops,rate_objs,total_time
passthrough-fuse-1-500-1000-4.txt,,,,,,passthrough,fuse,1,,,500,1000,,md,1.2290e-04,1.3413e-04,1.7023e-04,1.8789e-04,1.9127e-04,2.1038e-04,2.1740e-04,2.4038e-04,2.5234e-04,2.7216e-04,3.3004e-04,3.4814e-04,5.2103e-04,7.9023e-04,,,,,,,,,4,22075.3,5518.8,1
passthrough-fuse-1-500-1000-4.txt,,,,,,passthrough,fuse,1,,,500,1000,,md,1.2290e-04,1.3413e-04,1.7023e-04,1.8789e-04,1.9127e-04,2.1038e-04,2.1740e-04,2.4038e-04,2.5234e-04,2.7216e-04,3.3004e-04,3.4814e-04,5.2103e-04,7.9023e-04,,,,,,,,,4,22075.3,5518.8,1
passthrough-fuse-2-200-1000-1.txt,,,,,,passthrough,fuse,2,,,200,1000,,md,8.8037e-05,9.9006e-05,9.3113e-05,1.0308e-04,9.5802e-05,1.0538e-04,1.1858e-04,1.1970e-04,1.4647e-04,1.6108e-04,1.9733e-04,1.9155e-04,3.6374e-04,2.2367e-04,,,,,,,,,1,10307.8,2576.9,1
passthrough-fuse-2-200-1000-1.txt,,,,,,passthrough,fuse,2,,,200,1000,,md,8.8037e-05,9.9006e-05,9.3113e-05,1.0308e-04,9.5802e-05,1.0538e-04,1.1858e-04,1.1970e-04,1.4647e-04,1.6108e-04,1.9733e-04,1.9155e-04,3.6374e-04,2.2367e-04,,,,,,,,,1,10307.8,2576.9,1
passthrough-fuse-2-200-1000-2.txt,,,,,,passthrough,fuse,2,,,200,1000,,md,1.0666e-04,1.1417e-04,1.2290e-04,1.3659e-04,1.2784e-04,1.4201e-04,1.3538e-04,1.4733e-04,1.4251e-04,1.5474e-04,2.0111e-04,1.8604e-04,3.7066e-04,2.4944e-04,,,,,,,,,2,17017.1,4254.3,1
passthrough-fuse-2-200-1000-2.txt,,,,,,passthrough,fuse,2,,,200,1000,,md,1.0666e-04,1.1417e-04,1.2290e-04,1.3659e-04,1.2784e-04,1.4201e-04,1.3538e-04,1.4733e-04,1.4251e-04,1.5474e-04,2.0111e-04,1.8604e-04,3.7066e-04,2.4944e-04,,,,,,,,,2,17017.1,4254.3,0
passthrough-fuse-2-200-1000-3.txt,,,,,,passthrough,fuse,2,,,200,1000,,md,9.6475e-05,1.0426e-04,1.5324e-04,1.6617e-04,1.6313e-04,1.7876e-04,1.7844e-04,1.9363e-04,1.9491e-04,2.1177e-04,2.4543e-04,2.7351e-04,3.6791e-04,3.2565e-04,,,,,,,,,3,19794.8,4948.7,0
passthrough-fuse-2-200-1000-3.txt,,,,,,passthrough,fuse,2,,,200,1000,,md,9.6475e-05,1.0426e-04,1.5324e-04,1.6617e-04,1.6313e-04,1.7876e-04,1.7844e-04,1.9363e-04,1.9491e-04,2.1177e-04,2.4543e-04,2.7351e-04,3.6791e-04,3.2565e-04,,,,,,,,,3,19794.8,4948.7,1
passthrough-fuse-2-200-1000-4.txt,,,,,,passthrough,fuse,2,,,200,1000,,md,1.2141e-04,1.4323e-04,1.7030e-04,1.8625e-04,1.9199e-04,2.0962e-04,2.2094e-04,2.3842e-04,2.5958e-04,2.7138e-04,3.1730e-04,3.5417e-04,4.3960e-04,1.2019e-03,,,,,,,,,4,21974.7,5493.7,1
passthrough-fuse-2-200-1000-4.txt,,,,,,passthrough,fuse,2,,,200,1000,,md,1.2141e-04,1.4323e-04,1.7030e-04,1.8625e-04,1.9199e-04,2.0962e-04,2.2094e-04,2.3842e-04,2.5958e-04,2.7138e-04,3.1730e-04,3.5417e-04,4.3960e-04,1.2019e-03,,,,,,,,,4,21974.7,5493.7,1
