file,bytes,MB,MiB,time,tp,filter,dir_mem,iter,blocksize,size,operation,options,read_time,write_time,read_tp,write_tp,prefix,n,ppn,config,timesteps,sync_t
passthrough-mds-1-4-30000-write.txt,30720000,31,29,0.285717,108,passthrough,mds,1,4,30000,write,dd,,,,,,,,,,
passthrough-mds-2-1000-30000-read.txt,30720000,31,29,0.0160123,1945.6,passthrough,mds,2,1000,30000,read,dd,,,,,,,,,,
passthrough-mds-2-1000-30000-write.txt,30720000,31,29,0.0364379,843,passthrough,mds,2,1000,30000,write,dd,,,,,,,,,,
passthrough-mds-2-100-30000-read.txt,30720000,31,29,0.015672,2048.0,passthrough,mds,2,100,30000,read,dd,,,,,,,,,,
passthrough-mds-2-100-30000-write.txt,30720000,31,29,0.0312524,983,passthrough,mds,2,100,30000,write,dd,,,,,,,,,,
passthrough-mds-2-128-30000-read.txt,30670848,31,29,0.0154147,2048.0,passthrough,mds,2,128,30000,read,dd,,,,,,,,,,
passthrough-mds-2-128-30000-write.txt,30670848,31,29,0.0279486,1126.4,passthrough,mds,2,128,30000,write,dd,,,,,,,,,,
passthrough-mds-2-16-30000-read.txt,30720000,31,29,0.0409048,751,passthrough,mds,2,16,30000,read,dd,,,,,,,,,,
passthrough-mds-2-16-30000-write.txt,30720000,31,29,0.0642592,478,passthrough,mds,2,16,30000,write,dd,,,,,,,,,,
passthrough-mds-2-4-30000-read.txt,30720000,31,29,0.107133,287,passthrough,mds,2,4,30000,read,dd,,,,,,,,,,
passthrough-mds-2-4-30000-write.txt,30720000,31,29,0.182211,169,passthrough,mds,2,4,30000,write,dd,,,,,,,,,,
passthrough-mds-3-1000-30000-read.txt,30720000,31,29,0.0160681,1945.6,passthrough,mds,3,1000,30000,read,dd,,,,,,,,,,
passthrough-mds-3-1000-30000-write.txt,30720000,31,29,0.0375173,819,passthrough,mds,3,1000,30000,write,dd,,,,,,,,,,
passthrough-mds-3-100-30000-read.txt,30720000,31,29,0.0153137,2048.0,passthrough,mds,3,100,30000,read,dd,,,,,,,,,,
passthrough-mds-3-100-30000-write.txt,30720000,31,29,0.0304723,1024.0,passthrough,mds,3,100,30000,write,dd,,,,,,,,,,
passthrough-mds-3-128-30000-read.txt,30670848,31,29,0.014746,2150.4,passthrough,mds,3,128,30000,read,dd,,,,,,,,,,
passthrough-mds-3-128-30000-write.txt,30670848,31,29,0.0293891,1024.0,passthrough,mds,3,128,30000,write,dd,,,,,,,,,,
passthrough-mds-3-16-30000-read.txt,30720000,31,29,0.0347745,883,passthrough,mds,3,16,30000,read,dd,,,,,,,,,,
passthrough-mds-3-16-30000-write.txt,30720000,31,29,0.064648,475,passthrough,mds,3,16,30000,write,dd,,,,,,,,,,
passthrough-mds-3-4-30000-read.txt,30720000,31,29,0.100854,305,passthrough,mds,3,4,30000,read,dd,,,,,,,,,,
passthrough-mds-3-4-30000-write.txt,30720000,31,29,0.190422,161,passthrough,mds,3,4,30000,write,dd,,,,,,,,,,
