file,bytes,MB,MiB,time,tp,filter,dir_mem,iter,blocksize,size,operation,options,read_time,write_time,read_tp,write_tp,prefix,n,ppn,config,timesteps,sync_t
passthrough_fh-tmpfs-1-128-30000-write.txt,30670848,31,29,0.008115,3891.2,passthrough_fh,tmpfs,1,128,30000,write,dd,,,,,,,,,,
passthrough_fh-tmpfs-1-16-30000-read.txt,30720000,31,29,0.00633292,5017.6,passthrough_fh,tmpfs,1,16,30000,read,dd,,,,,,,,,,
passthrough_fh-tmpfs-1-16-30000-write.txt,30720000,31,29,0.00915099,3481.6,passthrough_fh,tmpfs,1,16,30000,write,dd,,,,,,,,,,
passthrough_fh-tmpfs-1-4-30000-read.txt,30720000,31,29,0.0141439,2252.8,passthrough_fh,tmpfs,1,4,30000,read,dd,,,,,,,,,,
passthrough_fh-tmpfs-1-4-30000-write.txt,30720000,31,29,0.0169928,1843.2,passthrough_fh,tmpfs,1,4,30000,write,dd,,,,,,,,,,
passthrough_fh-tmpfs-2-1000-30000-read.txt,30720000,31,29,0.00540796,5836.8,passthrough_fh,tmpfs,2,1000,30000,read,dd,,,,,,,,,,
passthrough_fh-tmpfs-2-1000-30000-write.txt,30720000,31,29,0.00781528,3993.6,passthrough_fh,tmpfs,2,1000,30000,write,dd,,,,,,,,,,
passthrough_fh-tmpfs-2-100-30000-read.txt,30720000,31,29,0.00515518,6144.0,passthrough_fh,tmpfs,2,100,30000,read,dd,,,,,,,,,,
passthrough_fh-tmpfs-2-100-30000-write.txt,30720000,31,29,0.00714424,4403.2,passthrough_fh,tmpfs,2,100,30000,write,dd,,,,,,,,,,
passthrough_fh-tmpfs-2-128-30000-read.txt,30670848,31,29,0.00542027,5836.8,passthrough_fh,tmpfs,2,128,30000,read,dd,,,,,,,,,,
passthrough_fh-tmpfs-2-128-30000-write.txt,30670848,31,29,0.00736069,4300.8,passthrough_fh,tmpfs,2,128,30000,write,dd,,,,,,,,,,
passthrough_fh-tmpfs-2-16-30000-read.txt,30720000,31,29,0.00628716,5017.6,passthrough_fh,tmpfs,2,16,30000,read,dd,,,,,,,,,,
passthrough_fh-tmpfs-2-16-30000-write.txt,30720000,31,29,0.00923309,3379.2,passthrough_fh,tmpfs,2,16,30000,write,dd,,,,,,,,,,
passthrough_fh-tmpfs-2-4-30000-read.txt,30720000,31,29,0.0117771,2662.4,passthrough_fh,tmpfs,2,4,30000,read,dd,,,,,,,,,,
passthrough_fh-tmpfs-2-4-30000-write.txt,30720000,31,29,0.0160889,1945.6,passthrough_fh,tmpfs,2,4,30000,write,dd,,,,,,,,,,
passthrough_fh-tmpfs-3-1000-30000-read.txt,30720000,31,29,0.00688312,4608.0,passthrough_fh,tmpfs,3,1000,30000,read,dd,,,,,,,,,,
passthrough_fh-tmpfs-3-1000-30000-write.txt,30720000,31,29,0.00846246,3686.4,passthrough_fh,tmpfs,3,1000,30000,write,dd,,,,,,,,,,
passthrough_fh-tmpfs-3-100-30000-read.txt,30720000,31,29,0.00500031,6246.4,passthrough_fh,tmpfs,3,100,30000,read,dd,,,,,,,,,,
passthrough_fh-tmpfs-3-100-30000-write.txt,30720000,31,29,0.00745133,4198.4,passthrough_fh,tmpfs,3,100,30000,write,dd,,,,,,,,,,
passthrough_fh-tmpfs-3-128-30000-read.txt,30670848,31,29,0.00627972,5017.6,passthrough_fh,tmpfs,3,128,30000,read,dd,,,,,,,,,,
passthrough_fh-tmpfs-3-128-30000-write.txt,30670848,31,29,0.00722182,4300.8,passthrough_fh,tmpfs,3,128,30000,write,dd,,,,,,,,,,
passthrough_fh-tmpfs-3-16-30000-read.txt,30720000,31,29,0.00622173,5017.6,passthrough_fh,tmpfs,3,16,30000,read,dd,,,,,,,,,,
passthrough_fh-tmpfs-3-16-30000-write.txt,30720000,31,29,0.00901802,3481.6,passthrough_fh,tmpfs,3,16,30000,write,dd,,,,,,,,,,
passthrough_fh-tmpfs-3-4-30000-read.txt,30720000,31,29,0.0128565,2457.6,passthrough_fh,tmpfs,3,4,30000,read,dd,,,,,,,,,,
passthrough_fh-tmpfs-3-4-30000-write.txt,30720000,31,29,0.0152161,2048.0,passthrough_fh,tmpfs,3,4,30000,write,dd,,,,,,,,,,
passthrough-fuse-1-1000-30000-read.txt,30720000,31,29,0.0110438,2867.2,passthrough,fuse,1,1000,30000,read,dd,,,,,,,,,,
passthrough-fuse-1-1000-30000-write.txt,30720000,31,29,0.0260965,1228.8,passthrough,fuse,1,1000,30000,write,dd,,,,,,,,,,
